Name	HMDBID	KeggID	Class
Pyruvic acid	HMDB00243	C00022	Organic Acids
Phenol	HMDB00228	C00146	Phenols
L-Lactic acid	HMDB00190	C00186	Organic Acids
Alpha-Hydroxyisobutyric acid	HMDB00729	NA	NA
Glycolic acid	HMDB00115	C00160	Organic Acids
Caproic acid	HMDB00535	C01585	Fatty Acids
L-Alanine	HMDB00161	C00041	Amino Acid
Alpha-ketoisovaleric acid	HMDB00019	C00141	Amino Acid
2-Hydroxybutyric acid	HMDB00008	C05984	Amino Acid
Oxalic acid	HMDB02329	C00209	Organic Acids
Sarcosine	HMDB00271	C00213	Amino Acid
2-Hydroxy-3-methylbutyric acid	HMDB00407	NA	Organic Acids
L-Alpha-aminobutyric acid	HMDB00452	C02356	Amino Acid
Phenylacetaldehyde	HMDB06236	C00601	aldehydes
Malonic acid	HMDB00691	C00383	Organic Acids
Methylmalonic acid	HMDB00202	C02170	Organic Acids
L-Valine	HMDB00883	C00183	Amino Acid
Hydroxyurea	HMDB15140	C07044	Amino Acid
Norvaline	HMDB13716	C01799	NA
Urea	HMDB00294	C00086	Amino Acid
Benzoic acid	HMDB01870	C00180	Organic Acids
Caprylic acid	HMDB00482	C06423	Fatty Acids
Ethanolamine	HMDB00149	C00189	Alkylamines
Glycerol	HMDB00131	C00116	Alcohols
DL_O_Phosphoserine	HMDB01721	C01005	Amino Acid
Phosphoric acid	HMDB02142	C00009	Phosphate
L-Alloisoleucine	HMDB00557	NA	Amino Acid
L-Isoleucine	HMDB00172	C00407	Amino Acid
L-Proline	HMDB00162	C00148	Amino Acid
Glycine	HMDB00123	C00037	Amino Acid
Succinic acid	HMDB00254	C00042	Organic Acids
Picolinic acid	HMDB02243	C10164	Organic Acids
Glyceric acid	HMDB00139	C00258	Organic Acids
Uracil	HMDB00300	C00106	Nucleotide
Fumaric acid	HMDB00134	C00122	Organic Acids
L-Serine	HMDB00187	C00065	Amino Acid
Pelargonic acid	HMDB00847	C01601	Fatty Acids
